"ProA12"	"ProA13"	"ProA14"	"ProA15"	"ProA16"	"ProA33"	"ProA34"	"ProA35"	"ProA36"	"ProA37"	"ProA58"	"ProA65"	"ProA66"	"ProB10"	"ProB12"	"ProB33"	"ProB34"	"ProB35"	"ProB36"	"ProB39"	"ProB40"	"ProB57"	"ProB58"	"ProB60"	"ProB67"	"ProB70"	"ProB71"	"ProB9"	"ProC36"	"ProC40"	"ProC65"	"ProC66"
"ProA12"	0	0.849717813151093	0.934959718982613	0.85162852819584	0.918264068403521	0.921223131221758	0.916114071707626	0.922608533457221	0.911961012225346	0.971616419623004	0.960200512106062	0.903968475489678	0.914204501203857	0.801647029539212	0.907580330978846	0.923038948500431	0.96719559647746	0.986565466688666	0.976513786165299	0.967403653735285	0.981143447064477	0.943229642628944	0.951836373871057	0.925392060877393	0.89108378928771	0.838882694558671	0.899635442827654	0.858942406874572	0.919304572602375	0.954927214977167	0.919092528255831	0.944146259657285
"ProA13"	0.849717813151093	0	0.638659119421594	0.795763916186342	0.683132545878574	0.972351972361993	0.967864414819113	0.964597181944075	0.966782728598873	0.997971829750104	0.957159359189312	0.949025983865421	0.961095262289753	0.774310505949001	0.903420312633154	0.962905030357882	0.994017300300652	0.997977137159822	0.995956785524083	0.986641427294616	0.992941976875051	0.949643520350838	0.958149883078541	0.933877490634592	0.936986454320009	0.936138085656061	0.956982321120034	0.890714536451011	0.97619398463356	0.987834454386007	0.956010352760428	0.97586277405252
"ProA14"	0.934959718982613	0.638659119421594	0	0.918997369506511	0.611394834871034	0.982845597805769	0.986834881897505	0.985385735739363	0.987071031721094	1	0.950940772320279	0.953836126032866	0.972257219001197	0.879000522827516	0.947582025385253	0.984654282332503	1	1	0.997294871964373	1	0.996057913263171	0.960403247887358	0.955595410034037	0.932180174858328	0.935270244606873	0.94175648006466	0.963490985717282	0.92655731702701	0.983056668665117	0.992260323660011	0.963429970846448	0.977364336133613
"ProA15"	0.85162852819584	0.795763916186342	0.918997369506511	0	0.849484970836739	0.965723208924024	0.958262808107864	0.958115130923212	0.953959075666639	0.995661262553916	0.978837838228081	0.965275293188805	0.974040684973098	0.813609692196581	0.795527037255783	0.958040673936062	0.986140031950919	0.997464321580962	0.993881698978697	0.983757363690216	0.988589833131327	0.962337219241381	0.9677610113882	0.938650048431392	0.957655465716912	0.950089016438802	0.955289015691773	0.801531711820439	0.956950735200557	0.968625408464113	0.967892833338014	0.984150576594297
"ProA16"	0.918264068403521	0.683132545878574	0.611394834871034	0.849484970836739	0	0.979932997552933	0.985074546179757	0.982046150331024	0.980398146982919	1	0.956524692738518	0.960645878106168	0.975559434547726	0.859748533474534	0.889789578724961	0.979281000745847	1	1	0.99697884272751	1	0.995581661906011	0.963007660909623	0.956066951973332	0.932895050934957	0.93845945954597	0.94448262165938	0.963496094634157	0.87340764025567	0.987211524266509	0.986162738067108	0.958931477621915	0.981887563918197
"ProA33"	0.921223131221758	0.972351972361993	0.982845597805769	0.965723208924024	0.979932997552933	0	0.542596431771762	0.569261209740107	0.537810252881172	0.879385073358309	0.931540360920757	0.733378838927216	0.742362982685433	0.95632231858399	0.981050892252228	0.781546793116496	0.808100379138425	0.867278945997333	0.845782040082583	0.882373644729177	0.941313309928283	0.869207867828089	0.854656316909822	0.89701637629556	0.797831068244263	0.840831960192043	0.865421516916985	0.911868290866798	0.746460205464165	0.776703552236836	0.747058012020566	0.799780789013018
"ProA34"	0.916114071707626	0.967864414819113	0.986834881897505	0.958262808107864	0.985074546179757	0.542596431771762	0	0.554858063455925	0.527810419127625	0.895875194225746	0.917852585754119	0.80452892723577	0.796883517721299	0.94588628719238	0.979517123508586	0.801039353746253	0.807684854037458	0.882488992900181	0.844177504471265	0.878480126321936	0.95026093546991	0.874171923543414	0.883576914840967	0.894747395336968	0.843152938187883	0.860109521815288	0.89146637844507	0.912250529005189	0.749541960758439	0.744436749051864	0.800641957705272	0.839256363880841
"ProA35"	0.922608533457221	0.964597181944075	0.985385735739363	0.958115130923212	0.982046150331024	0.569261209740107	0.554858063455925	0	0.55517364419398	0.874347512416521	0.934443426565578	0.801200975799815	0.834086784865162	0.941248974112886	0.974512123498132	0.854497261660219	0.830086198021506	0.882020260224029	0.877737455695006	0.880002458972653	0.932648946931814	0.839815439211876	0.825912392158462	0.834198986452297	0.854700820786811	0.865237633342401	0.906270741362631	0.92329475767965	0.796279311284145	0.747746525998208	0.812008276451587	0.846904666133727
"ProA36"	0.911961012225346	0.966782728598873	0.987071031721094	0.953959075666639	0.980398146982919	0.537810252881172	0.527810419127625	0.55517364419398	0	0.859247638867745	0.908076910743213	0.77871119448315	0.772149339353767	0.953825642605354	0.982873611637219	0.823853931604198	0.820803138272233	0.888387133388654	0.862421731809668	0.865919958240279	0.935878166868987	0.874502205708999	0.874785125630687	0.882462292871567	0.82905605395895	0.857058927959088	0.8859891073796	0.910174909840536	0.741402473211236	0.727126402523077	0.777127798128711	0.822195232218236
"ProA37"	0.971616419623004	0.997971829750104	1	0.995661262553916	1	0.879385073358309	0.895875194225746	0.874347512416521	0.859247638867745	0	0.956859319853293	0.89177641682855	0.917347361628289	0.992371027239879	1	0.842120627378701	0.781476450686568	0.756878800766071	0.758358032544478	0.729892657172199	0.663499734921571	0.930624222255312	0.964034244714733	0.936431371039809	0.933257759285516	0.938335291375444	0.958455289313064	0.966703939205838	0.907368788629094	0.853892673430965	0.895793491273091	0.91225755742981
"ProA58"	0.960200512106062	0.957159359189312	0.950940772320279	0.978837838228081	0.956524692738518	0.931540360920757	0.917852585754119	0.934443426565578	0.908076910743213	0.956859319853293	0	0.874129722069554	0.886240761620832	0.967211306182024	0.982661357253315	0.904890345825481	0.920023019217806	0.922225407520165	0.919367894896207	0.93263611857591	0.955428244741976	0.653161903639071	0.612697089278845	0.619265756149487	0.853964331250858	0.856782805054487	0.858642246533913	0.937523104769191	0.923031754153318	0.95339880915282	0.866390453334031	0.893880958113559
"ProA65"	0.903968475489678	0.949025983865421	0.953836126032866	0.965275293188805	0.960645878106168	0.733378838927216	0.80452892723577	0.801200975799815	0.77871119448315	0.89177641682855	0.874129722069554	0	0.49042863170624	0.943588117138215	0.975010529415445	0.792001268935655	0.792578958706888	0.830438102851399	0.842983508267489	0.873394366778721	0.954327456077603	0.776315232755184	0.736630008279667	0.806054955434666	0.579138345179485	0.661608621849924	0.718034514736472	0.879388954850232	0.712606577108708	0.917732551152427	0.490040758676672	0.635987660061211
"ProA66"	0.914204501203857	0.961095262289753	0.972257219001197	0.974040684973098	0.975559434547726	0.742362982685433	0.796883517721299	0.834086784865162	0.772149339353767	0.917347361628289	0.886240761620832	0.49042863170624	0	0.946177845143143	0.983011575319015	0.790331274717373	0.806557628478263	0.839145215107576	0.860093974645453	0.889607241647088	0.966894237100638	0.80149426000064	0.772769401556324	0.841536440515743	0.599806864645382	0.711133407498416	0.704778869640233	0.88322696216002	0.751939919262087	0.913687378426626	0.510779080410938	0.678083157692147
"ProB10"	0.801647029539212	0.774310505949001	0.879000522827516	0.813609692196581	0.859748533474534	0.95632231858399	0.94588628719238	0.941248974112886	0.953825642605354	0.992371027239879	0.967211306182024	0.943588117138215	0.946177845143143	0	0.785162231770565	0.94824230963467	0.979352075919004	0.988135165507346	0.988144949150842	0.971278696384661	0.97595058568687	0.958821673696826	0.95903071659892	0.936514119965572	0.936451885685849	0.914282275005172	0.945760348253738	0.747954969288351	0.968460646649257	0.964828000158194	0.944101572942736	0.969661164036427
"ProB12"	0.907580330978846	0.903420312633154	0.947582025385253	0.795527037255783	0.889789578724961	0.981050892252228	0.979517123508586	0.974512123498132	0.982873611637219	1	0.982661357253315	0.975010529415445	0.983011575319015	0.785162231770565	0	0.967903195372262	0.993134106045513	1	0.995922374994138	0.989855878290338	0.989067828298671	0.981064475007678	0.978719698545583	0.969078693705188	0.976060991387718	0.960022564290143	0.973026228394152	0.739627707047846	0.976023487221246	0.972605282478437	0.973744149332583	0.983665845834289
"ProB33"	0.923038948500431	0.962905030357882	0.984654282332503	0.958040673936062	0.979281000745847	0.781546793116496	0.801039353746253	0.854497261660219	0.823853931604198	0.842120627378701	0.904890345825481	0.792001268935655	0.790331274717373	0.94824230963467	0.967903195372262	0	0.681485158071105	0.720737594155017	0.704768183544631	0.793888663195251	0.861322215486693	0.804848194041024	0.844831367336132	0.834208760018062	0.783493870903783	0.742963281808202	0.767654650196986	0.797569412809869	0.753832092736999	0.931490428100336	0.772308921081131	0.758251328763452
"ProB34"	0.96719559647746	0.994017300300652	1	0.986140031950919	1	0.808100379138425	0.807684854037458	0.830086198021506	0.820803138272233	0.781476450686568	0.920023019217806	0.792578958706888	0.806557628478263	0.979352075919004	0.993134106045513	0.681485158071105	0	0.522236847685826	0.403911597431354	0.598517728579563	0.73320737965494	0.866793486609666	0.865275809281752	0.895684277619601	0.841622511752527	0.856347157054222	0.885007886263708	0.934525781695335	0.765179506668897	0.89502787105485	0.767805927987971	0.78206911634367
"ProB35"	0.986565466688666	0.997977137159822	1	0.997464321580962	1	0.867278945997333	0.882488992900181	0.882020260224029	0.888387133388654	0.756878800766071	0.922225407520165	0.830438102851399	0.839145215107576	0.988135165507346	1	0.720737594155017	0.522236847685826	0	0.513806547166962	0.424725445161597	0.717779899863213	0.873875450984983	0.885399402132485	0.897435062274476	0.87696289037537	0.860269543965218	0.883668587301501	0.931573824899156	0.845005129330843	0.909969109021877	0.803708491748835	0.767192306561162
"ProB36"	0.976513786165299	0.995956785524083	0.997294871964373	0.993881698978697	0.99697884272751	0.845782040082583	0.844177504471265	0.877737455695006	0.862421731809668	0.758358032544478	0.919367894896207	0.842983508267489	0.860093974645453	0.988144949150842	0.995922374994138	0.704768183544631	0.403911597431354	0.513806547166962	0	0.613486799703005	0.725707100356254	0.883404666658223	0.893759424548467	0.90455113374762	0.868349538071372	0.888066128348096	0.911575304084867	0.943322227429891	0.84772474392397	0.925759998358289	0.820341263881329	0.822454591387058
"ProB39"	0.967403653735285	0.986641427294616	1	0.983757363690216	1	0.882373644729177	0.878480126321936	0.880002458972653	0.865919958240279	0.729892657172199	0.93263611857591	0.873394366778721	0.889607241647088	0.971278696384661	0.989855878290338	0.793888663195251	0.598517728579563	0.424725445161597	0.613486799703005	0	0.658209031815205	0.917498856105734	0.93202310285127	0.914506802504347	0.917387631002498	0.914119224480484	0.944027927340534	0.934644943028101	0.858341935565012	0.8526029039777	0.848443333718313	0.870152108893868
"ProB40"	0.981143447064477	0.992941976875051	0.996057913263171	0.988589833131327	0.995581661906011	0.941313309928283	0.95026093546991	0.932648946931814	0.935878166868987	0.663499734921571	0.955428244741976	0.954327456077603	0.966894237100638	0.97595058568687	0.989067828298671	0.861322215486693	0.73320737965494	0.717779899863213	0.725707100356254	0.658209031815205	0	0.955330520638865	0.963148748420122	0.951673388785206	0.963939180171122	0.958342768802091	0.968011350954676	0.969219566020098	0.945121407162522	0.934655759716303	0.936932954068383	0.935727233269521
"ProB57"	0.943229642628944	0.949643520350838	0.960403247887358	0.962337219241381	0.963007660909623	0.869207867828089	0.874171923543414	0.839815439211876	0.874502205708999	0.930624222255312	0.653161903639071	0.776315232755184	0.80149426000064	0.958821673696826	0.981064475007678	0.804848194041024	0.866793486609666	0.873875450984983	0.883404666658223	0.917498856105734	0.955330520638865	0	0.501121940316589	0.437214363611224	0.789602348662494	0.729170588258119	0.742807418272606	0.894737248005172	0.864888659544045	0.897678583591442	0.757547013212071	0.753183103903735
"ProB58"	0.951836373871057	0.958149883078541	0.955595410034037	0.9677610113882	0.956066951973332	0.854656316909822	0.883576914840967	0.825912392158462	0.874785125630687	0.964034244714733	0.612697089278845	0.736630008279667	0.772769401556324	0.95903071659892	0.978719698545583	0.844831367336132	0.865275809281752	0.885399402132485	0.893759424548467	0.93202310285127	0.963148748420122	0.501121940316589	0	0.504152060734936	0.74350644029952	0.7633085701776	0.76808307404624	0.912371328826226	0.859507510456886	0.93596794813404	0.695638803204122	0.75684047897212
"ProB60"	0.925392060877393	0.933877490634592	0.932180174858328	0.938650048431392	0.932895050934957	0.89701637629556	0.894747395336968	0.834198986452297	0.882462292871567	0.936431371039809	0.619265756149487	0.806054955434666	0.841536440515743	0.936514119965572	0.969078693705188	0.834208760018062	0.895684277619601	0.897435062274476	0.90455113374762	0.914506802504347	0.951673388785206	0.437214363611224	0.504152060734936	0	0.785294844941087	0.718613294191261	0.752021009826183	0.879050824715698	0.873249336952058	0.90020332216866	0.768613874043766	0.818937299167025
"ProB67"	0.89108378928771	0.936986454320009	0.935270244606873	0.957655465716912	0.93845945954597	0.797831068244263	0.843152938187883	0.854700820786811	0.82905605395895	0.933257759285516	0.853964331250858	0.579138345179485	0.599806864645382	0.936451885685849	0.976060991387718	0.783493870903783	0.841622511752527	0.87696289037537	0.868349538071372	0.917387631002498	0.963939180171122	0.789602348662494	0.74350644029952	0.785294844941087	0	0.628072236041958	0.607730060722742	0.868926212956545	0.799844224404951	0.942852683265132	0.568469361223049	0.702276199665211
"ProB70"	0.838882694558671	0.936138085656061	0.94175648006466	0.950089016438802	0.94448262165938	0.840831960192043	0.860109521815288	0.865237633342401	0.857058927959088	0.938335291375444	0.856782805054487	0.661608621849924	0.711133407498416	0.914282275005172	0.960022564290143	0.742963281808202	0.856347157054222	0.860269543965218	0.888066128348096	0.914119224480484	0.958342768802091	0.729170588258119	0.7633085701776	0.718613294191261	0.628072236041958	0	0.574047556667104	0.838647236226115	0.82648720554085	0.926298164692559	0.668735393598577	0.664058638452237
"ProB71"	0.899635442827654	0.956982321120034	0.963490985717282	0.955289015691773	0.963496094634157	0.865421516916985	0.89146637844507	0.906270741362631	0.8859891073796	0.958455289313064	0.858642246533913	0.718034514736472	0.704778869640233	0.945760348253738	0.973026228394152	0.767654650196986	0.885007886263708	0.883668587301501	0.911575304084867	0.944027927340534	0.968011350954676	0.742807418272606	0.76808307404624	0.752021009826183	0.607730060722742	0.574047556667104	0	0.865398491094284	0.852540446693548	0.935733386263018	0.729253406907945	0.71360800350204
"ProB9"	0.858942406874572	0.890714536451011	0.92655731702701	0.801531711820439	0.87340764025567	0.911868290866798	0.912250529005189	0.92329475767965	0.910174909840536	0.966703939205838	0.937523104769191	0.879388954850232	0.88322696216002	0.747954969288351	0.739627707047846	0.797569412809869	0.934525781695335	0.931573824899156	0.943322227429891	0.934644943028101	0.969219566020098	0.894737248005172	0.912371328826226	0.879050824715698	0.868926212956545	0.838647236226115	0.865398491094284	0	0.919724774194477	0.923888152797437	0.877049079956647	0.901086030122391
"ProC36"	0.919304572602375	0.97619398463356	0.983056668665117	0.956950735200557	0.987211524266509	0.746460205464165	0.749541960758439	0.796279311284145	0.741402473211236	0.907368788629094	0.923031754153318	0.712606577108708	0.751939919262087	0.968460646649257	0.976023487221246	0.753832092736999	0.765179506668897	0.845005129330843	0.84772474392397	0.858341935565012	0.945121407162522	0.864888659544045	0.859507510456886	0.873249336952058	0.799844224404951	0.82648720554085	0.852540446693548	0.919724774194477	0	0.877237802796774	0.73306823116519	0.779845886063271
"ProC40"	0.954927214977167	0.987834454386007	0.992260323660011	0.968625408464113	0.986162738067108	0.776703552236836	0.744436749051864	0.747746525998208	0.727126402523077	0.853892673430965	0.95339880915282	0.917732551152427	0.913687378426626	0.964828000158194	0.972605282478437	0.931490428100336	0.89502787105485	0.909969109021877	0.925759998358289	0.8526029039777	0.934655759716303	0.897678583591442	0.93596794813404	0.90020332216866	0.942852683265132	0.926298164692559	0.935733386263018	0.923888152797437	0.877237802796774	0	0.903828098399068	0.908703556511303
"ProC65"	0.919092528255831	0.956010352760428	0.963429970846448	0.967892833338014	0.958931477621915	0.747058012020566	0.800641957705272	0.812008276451587	0.777127798128711	0.895793491273091	0.866390453334031	0.490040758676672	0.510779080410938	0.944101572942736	0.973744149332583	0.772308921081131	0.767805927987971	0.803708491748835	0.820341263881329	0.848443333718313	0.936932954068383	0.757547013212071	0.695638803204122	0.768613874043766	0.568469361223049	0.668735393598577	0.729253406907945	0.877049079956647	0.73306823116519	0.903828098399068	0	0.573543971922537
"ProC66"	0.944146259657285	0.97586277405252	0.977364336133613	0.984150576594297	0.981887563918197	0.799780789013018	0.839256363880841	0.846904666133727	0.822195232218236	0.91225755742981	0.893880958113559	0.635987660061211	0.678083157692147	0.969661164036427	0.983665845834289	0.758251328763452	0.78206911634367	0.767192306561162	0.822454591387058	0.870152108893868	0.935727233269521	0.753183103903735	0.75684047897212	0.818937299167025	0.702276199665211	0.664058638452237	0.71360800350204	0.901086030122391	0.779845886063271	0.908703556511303	0.573543971922537	0
