#SampleID	Sample_type	Farm_type	Sample_Farming
ProB57	Lettuce	Conventional	Lettuce_Conventional
ProA58	Lettuce	Conventional	Lettuce_Conventional
ProB60	Lettuce	Conventional	Lettuce_Conventional
ProB58	Lettuce	Conventional	Lettuce_Conventional
ProA12	Mushrooms	Conventional	Mushrooms_Conventional
ProB9	Mushrooms	Conventional	Mushrooms_Conventional
ProB10	Mushrooms	Conventional	Mushrooms_Conventional
ProA16	Mushrooms	Organic	Mushrooms_Organic
ProB12	Mushrooms	Conventional	Mushrooms_Conventional
ProA13	Mushrooms	Organic	Mushrooms_Organic
ProA15	Mushrooms	Organic	Mushrooms_Organic
ProA14	Mushrooms	Organic	Mushrooms_Organic
ProB70	Spinach	Organic	Spinach_Organic
ProC66	Spinach	Conventional	Spinach_Conventional
ProA65	Spinach	Conventional	Spinach_Conventional
ProC65	Spinach	Conventional	Spinach_Conventional
ProB67	Spinach	Conventional	Spinach_Conventional
ProA66	Spinach	Conventional	Spinach_Conventional
ProB71	Spinach	Organic	Spinach_Organic
ProA37	Strawberries	Organic	Strawberries_Organic
ProB39	Strawberries	Organic	Strawberries_Organic
ProC40	Strawberries	Organic	Strawberries_Organic
ProB34	Strawberries	Conventional	Strawberries_Conventional
ProC36	Strawberries	Conventional	Strawberries_Conventional
ProB35	Strawberries	Conventional	Strawberries_Conventional
ProB36	Strawberries	Conventional	Strawberries_Conventional
ProB40	Strawberries	Organic	Strawberries_Organic
ProA36	Strawberries	Conventional	Strawberries_Conventional
ProB33	Strawberries	Conventional	Strawberries_Conventional
ProA35	Strawberries	Conventional	Strawberries_Conventional
ProA33	Strawberries	Conventional	Strawberries_Conventional
ProA34	Strawberries	Conventional	Strawberries_Conventional
