#SampleID	Sample_type
ProB57	Lettuce
ProA58	Lettuce
ProB60	Lettuce
ProB58	Lettuce
ProA12	Mushrooms
ProB9	Mushrooms
ProB10	Mushrooms
ProA16	Mushrooms
ProB12	Mushrooms
ProA13	Mushrooms
ProA15	Mushrooms
ProA14	Mushrooms
ProB70	Spinach
ProC66	Spinach
ProA65	Spinach
ProC65	Spinach
ProB67	Spinach
ProA66	Spinach
ProB71	Spinach
ProA37	Strawberries
ProB39	Strawberries
ProC40	Strawberries
ProB34	Strawberries
ProC36	Strawberries
ProB35	Strawberries
ProB36	Strawberries
ProB40	Strawberries
ProA36	Strawberries
ProB33	Strawberries
ProA35	Strawberries
ProA33	Strawberries
ProA34	Strawberries
