#SampleID	category1	category2
samp1	level1	c2level1
samp2	level1	c2level1
samp3	level1	c2level2
samp4	level1	c2level2
samp5	level1	c2level3
samp6	level1	c2level3
samp7	level1	c2level4
samp8	level1	c2level4
samp9	level2	c2level1
samp10	level2	c2level1
samp11	level2	c2level2
samp12	level2	c2level2
samp13	level2	c2level3
samp14	level2	c2level3
samp15	level2	c2level4
samp16	level2	c2level4
samp17	level3	c2level1
samp18	level3	c2level1
samp19	level3	c2level2
samp20	level3	c2level2
samp21	level3	c2level3
samp22	level3	c2level3
samp23	level3	c2level4
samp24	level3	c2level4
