#OTU ID	samp1	samp2	samp3	samp4	samp5	samp6	samp7	samp8	samp9	samp10	samp11	samp12	samp13	samp14	samp15	samp16	samp17	samp18	samp19	samp20	samp21	samp22	samp23	samp24	taxonomy
OTU_325	9	15	11	7	12	22	14	24	19	24	9	15	9	15	11	7	12	22	14	24	19	24	9	15	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium
OTU_4337	458	495	405	370	405	432	147	157	128	129	170	206	199	215	176	161	176	188	147	157	128	129	170	206	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium
OTU_327	0	5	5	3	3	0	0	3	2	4	5	4	0	5	5	3	3	0	0	3	2	4	5	4	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__
OTU_326	0	0	0	0	0	0	0	0	1	0	0	4	2	0	2	5	0	3	5	0	1	0	0	4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
OTU_897	69	42	86	67	98	0	52	97	62	21	79	55	69	42	86	67	98	0	52	97	62	21	79	55	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__Mogibacterium; s__
OTU_896	33	20	189	135	70	195	142	152	142	118	60	181	33	20	189	135	70	195	142	152	142	118	60	181	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
OTU_323	515	1381	737	648	151	762	1157	508	1230	722	1498	731	515	1381	737	648	151	762	1157	508	1230	722	1498	731	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
OTU_322	19	1	7	7	2	20	9	0	22	14	18	5	19	1	7	7	2	20	9	0	22	14	18	5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
OTU_899	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	8	8	2	7	5	5	7	8	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__
OTU_328	954	738	937	795	690	788	968	891	943	673	652	778	954	738	937	795	690	788	968	891	943	673	652	778	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__alcaligenes
